State,Lat,Lon,zoom
Alabama,32.806671,-86.79113,7
Alaska,61.370716,-152.404419,4
Arizona,33.729759,-111.431221,6
Arkansas,34.969704,-92.373123,7
California,36.116203,-119.681564,5
Colorado,39.059811,-105.311104,6
Connecticut,41.597782,-72.755371,8
Delaware,39.318523,-75.507141,8
District of Columbia,38.897438,-77.026817,11
Florida,27.766279,-81.686783,6
Georgia,33.040619,-83.643074,7
Hawaii,21.094318,-157.498337,5
Idaho,44.240459,-114.478828,6
Illinois,40.349457,-88.986137,7
Indiana,39.849426,-86.258278,7
Iowa,42.011539,-93.210526,7
Kansas,38.5266,-96.726486,6
Kentucky,37.66814,-84.670067,7
Louisiana,31.169546,-91.867805,7
Maine,44.693947,-69.381927,7
Maryland,39.063946,-76.802101,7
Massachusetts,42.230171,-71.530106,8
Michigan,43.326618,-84.536095,6
Minnesota,45.694454,-93.900192,6
Mississippi,32.741646,-89.678696,7
Missouri,38.456085,-92.288368,7
Montana,46.921925,-110.454353,6
Nebraska,41.12537,-98.268082,6
Nevada,38.313515,-117.055374,6
New Hampshire,43.452492,-71.563896,8
New Jersey,40.298904,-74.521011,8
New Mexico,34.840515,-106.248482,6
New York,42.165726,-74.948051,6
North Carolina,35.630066,-79.806419,7
North Dakota,47.528912,-99.784012,6
Ohio,40.388783,-82.764915,7
Oklahoma,35.565342,-96.928917,6
Oregon,44.572021,-122.070938,6
Pennsylvania,40.590752,-77.209755,7
Rhode Island,41.680893,-71.51178,9
South Carolina,33.856892,-80.945007,7
South Dakota,44.299782,-99.438828,6
Tennessee,35.747845,-86.692345,7
Texas,31.054487,-97.563461,5
Utah,40.150032,-111.862434,6
Vermont,44.045876,-72.710686,7
Virginia,37.769337,-78.169968,6
Washington,47.400902,-121.490494,6
West Virginia,38.491226,-80.954453,7
Wisconsin,44.268543,-89.616508,6
Wyoming,42.755966,-107.30249,6
